iter	RMSE
0	247716.1371
1	240022.0429
2	232418.0683
3	225252.3739
4	218153.4645
5	211643.308
6	205055.6796
7	198998.665
8	193343.5494
9	188360.7104
10	183937.84
11	179459.7474
12	174707.0873
13	170806.3862
14	166853.4797
15	162924.3196
16	159537.6919
17	156097.1419
18	152932.8341
19	150064.8554
20	147022.0164
21	144352.311
22	141847.5978
23	139592.4304
24	137218.8197
25	135234.9431
26	133267.7397
27	131362.0036
28	129612.3196
29	127924.6603
30	126193.7476
31	124757.6511
32	123350.1869
33	122002.7096
34	120761.1496
35	119445.761
36	118178.894
37	117103.9718
38	115850.4365
39	114723.4819
40	113813.8661
41	112887.9697
42	112103.9961
43	111298.4414
44	110217.0855
45	109448.3719
46	108785.2891
47	108107.558
48	107441.2645
49	106713.076
50	106225.4876
51	105641.4985
52	105142.2812
53	104640.7192
54	104176.1533
55	103487.4444
56	103058.81
57	102567.788
58	102039.2296
59	101564.8642
60	101156.7982
61	100796.0859
62	100464.2622
63	100287.7355
64	99965.69506
65	99619.13964
66	99282.01928
67	98930.37484
68	98552.07895
69	98269.09113
70	97887.02627
71	97590.35774
72	97352.89169
73	96976.54714
74	96636.71267
75	96473.14193
76	96361.54308
77	96167.23588
78	95744.50552
79	95545.79446
80	95305.55902
81	95086.52761
82	94790.2148
83	94329.7283
84	94013.49793
85	93827.24441
86	93480.87666
87	93029.03454
88	92777.82203
89	92640.57134
90	92274.08699
91	92019.95645
92	91711.10115
93	91549.17045
94	91372.5102
95	91257.23533
96	91162.32356
97	91067.41169
98	90895.95249
99	90629.85288
100	90448.12239
101	90272.7654
102	89974.02946
103	89709.89865
104	89420.455
105	89332.21105
106	89003.92109
107	88781.88394
108	88513.58772
109	88419.78836
110	88229.95341
111	87950.97971
112	87840.08182
113	87716.87577
114	87506.99597
115	87341.40627
116	87270.61562
117	87181.77744
118	87098.89075
119	87023.73326
120	86852.46541
121	86763.09639
122	86662.5419
123	86522.91172
124	86343.45681
125	86276.73663
126	86213.89618
127	85977.95345
128	85860.38417
129	85659.7439
130	85568.51803
131	85375.42232
132	85223.34606
133	85154.60046
134	85025.48933
135	84916.89355
136	84748.45998
137	84465.10679
138	84347.31941
139	84221.66483
140	84117.58925
141	84062.30311
142	83971.69364
143	83798.27303
144	83534.75838
145	83434.37003
146	83250.44096
147	83109.23209
148	82998.96464
149	82927.79225
150	82841.28904
151	82576.08889
152	82498.22723
153	82427.48387
154	82278.70809
155	82196.59228
156	82130.83505
157	82038.96381
158	81914.44455
159	81861.40176
160	81785.38581
161	81720.20927
162	81592.31427
163	81405.46279
164	81259.25788
165	81072.82424
166	81008.60293
167	80888.68461
168	80838.97447
169	80763.61154
170	80685.18539
171	80613.51329
172	80514.5436
173	80296.66846
174	80067.69298
175	80013.02308
176	79893.36214
177	79780.04926
178	79735.97381
179	79591.51042
180	79528.00116
181	79438.08506
182	79290.75727
183	79155.73784
184	79083.75234
185	78975.71277
186	78859.61946
187	78767.55436
188	78627.20435
189	78519.06621
190	78436.62224
191	78352.15977
192	78214.60845
193	78109.19334
194	78103.93687
195	78028.1609
196	77949.20651
197	77807.24956
198	77717.39053
199	77669.99751
200	77631.41574
201	77579.41655
202	77557.40607
203	77467.2267
204	77424.89482
205	77371.9561
206	77306.62887
