iter	Passed	Remaining
0	191	190951
1	196	97957
2	201	66957
3	206	51461
4	211	42161
5	217	36028
6	224	31884
7	228	28391
8	233	25672
9	239	23749
10	245	22044
11	250	20663
12	255	19408
13	259	18253
14	263	17318
15	269	16553
16	275	15907
17	286	15631
18	291	15056
19	299	14663
20	302	14116
21	307	13688
22	313	13303
23	316	12887
24	320	12517
25	326	12232
26	330	11895
27	333	11583
28	341	11445
29	345	11170
30	349	10912
31	356	10772
32	359	10542
33	363	10318
34	369	10196
35	373	10001
36	377	9815
37	382	9689
38	387	9547
39	391	9392
40	396	9275
41	401	9151
42	404	9012
43	408	8879
44	416	8831
45	420	8723
46	429	8700
47	433	8606
48	444	8627
49	448	8515
50	452	8411
51	458	8350
52	461	8251
53	465	8160
54	471	8097
55	475	8021
56	479	7936
57	484	7866
58	489	7810
59	493	7737
60	498	7665
61	503	7617
62	507	7547
63	511	7474
64	518	7454
65	522	7393
66	529	7378
67	536	7356
68	541	7303
69	545	7252
70	550	7200
71	554	7146
72	558	7098
73	563	7045
74	566	6991
75	571	6947
76	575	6895
77	579	6844
78	582	6796
79	593	6820
80	605	6869
81	615	6890
82	622	6877
83	631	6889
84	653	7031
85	659	7013
86	665	6983
87	668	6932
88	678	6944
89	682	6904
90	691	6906
91	695	6865
92	700	6827
93	709	6841
94	714	6806
95	724	6824
96	728	6778
97	733	6752
98	737	6716
99	741	6674
100	750	6682
101	754	6642
102	758	6602
103	764	6583
104	768	6551
105	777	6557
106	782	6529
107	795	6571
108	799	6533
109	806	6528
110	810	6491
111	814	6454
112	821	6448
113	825	6413
114	828	6378
115	836	6373
116	839	6338
117	843	6303
118	851	6301
119	854	6268
120	858	6234
121	865	6228
122	868	6195
123	872	6163
124	877	6144
125	881	6116
126	886	6090
127	893	6087
128	897	6062
129	906	6066
130	911	6047
131	916	6023
132	924	6029
133	931	6021
134	941	6030
135	944	6000
136	950	5984
137	954	5960
138	958	5935
139	961	5907
140	967	5897
141	971	5869
142	975	5844
143	982	5841
144	986	5814
145	990	5790
146	997	5787
147	1000	5760
148	1004	5737
149	1042	5906
150	1109	6236
151	1160	6474
152	1172	6490
153	1195	6568
154	1203	6561
155	1216	6579
156	1235	6634
157	1254	6686
158	1269	6713
159	1284	6741
160	1299	6770
161	1313	6794
162	1319	6775
163	1325	6758
164	1339	6778
165	1354	6807
166	1366	6817
167	1372	6796
168	1384	6807
169	1388	6780
170	1399	6785
171	1404	6758
172	1413	6758
173	1417	6729
174	1423	6708
175	1427	6684
176	1431	6655
177	1440	6653
178	1445	6628
179	1455	6631
180	1460	6608
181	1470	6608
182	1474	6583
183	1484	6584
184	1489	6560
185	1500	6564
186	1506	6549
187	1518	6560
188	1532	6574
189	1541	6573
190	1547	6552
191	1556	6549
192	1561	6527
193	1565	6505
194	1570	6484
195	1574	6459
196	1580	6444
197	1584	6419
198	1594	6416
199	1597	6390
200	1601	6364
201	1610	6362
202	1614	6336
203	1622	6331
204	1626	6307
